"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2003.01",1,68,"J13w","Gokenzan","0-1 (10-5)",0,"yoritaoshi",132,"Ms1e","Kotonomine","1-0 (4-3)",1
"2003.01",1,132,"Ms1e","Kotonomine","1-0 (4-3)",1,"yoritaoshi",68,"J13w","Gokenzan","0-1 (10-5)",0
"2003.01",1,70,"J13e","Kitazakura","0-1 (8-7)",0,"okuridashi",287,"J11w","Wakatoba","1-0 (8-7)",1
"2003.01",1,287,"J11w","Wakatoba","1-0 (8-7)",1,"okuridashi",70,"J13e","Kitazakura","0-1 (8-7)",0
"2003.01",1,47,"J12w","Chiyotenzan","0-1 (4-11)",0,"oshidashi",149,"J11e","Juzan","1-0 (7-8)",1
"2003.01",1,149,"J11e","Juzan","1-0 (7-8)",1,"oshidashi",47,"J12w","Chiyotenzan","0-1 (4-11)",0
"2003.01",1,72,"J10w","Tochisakae","1-0 (8-7)",1,"tsukiotoshi",226,"J10e","Wakatenro","0-1 (6-9)",0
"2003.01",1,226,"J10e","Wakatenro","0-1 (6-9)",0,"tsukiotoshi",72,"J10w","Tochisakae","1-0 (8-7)",1
"2003.01",1,92,"J9e","Harunoyama","0-1 (6-9)",0,"uwatenage",129,"J9w","Hayateumi","1-0 (8-7)",1
"2003.01",1,129,"J9w","Hayateumi","1-0 (8-7)",1,"uwatenage",92,"J9e","Harunoyama","0-1 (6-9)",0
"2003.01",1,15,"J8e","Oginishiki","0-1 (9-6)",0,"oshidashi",78,"J8w","Toyozakura","1-0 (4-11)",1
"2003.01",1,78,"J8w","Toyozakura","1-0 (4-11)",1,"oshidashi",15,"J8e","Oginishiki","0-1 (9-6)",0
"2003.01",1,51,"J7w","Daizen","0-1 (4-11)",0,"hatakikomi",64,"J7e","Yotsukasa","1-0 (10-5)",1
"2003.01",1,64,"J7e","Yotsukasa","1-0 (10-5)",1,"hatakikomi",51,"J7w","Daizen","0-1 (4-11)",0
"2003.01",1,81,"J6e","Wakakosho","0-1 (7-8)",0,"yorikiri",163,"J6w","Senshuyama","1-0 (8-7)",1
"2003.01",1,163,"J6w","Senshuyama","1-0 (8-7)",1,"yorikiri",81,"J6e","Wakakosho","0-1 (7-8)",0
"2003.01",1,34,"J5e","Asanowaka","1-0 (8-7)",1,"oshidashi",874,"J5w","Hamanishiki","0-1 (5-10)",0
"2003.01",1,874,"J5w","Hamanishiki","0-1 (5-10)",0,"oshidashi",34,"J5e","Asanowaka","1-0 (8-7)",1
"2003.01",1,99,"J4e","Komahikari","1-0 (9-6)",1,"hatakikomi",1284,"J3w","Takekaze","0-1 (10-5)",0
"2003.01",1,1284,"J3w","Takekaze","0-1 (10-5)",0,"hatakikomi",99,"J4e","Komahikari","1-0 (9-6)",1
"2003.01",1,11,"J2w","Aogiyama","1-0 (7-8)",1,"hikiotoshi",58,"J3e","Oikari","0-1 (6-9)",0
"2003.01",1,58,"J3e","Oikari","0-1 (6-9)",0,"hikiotoshi",11,"J2w","Aogiyama","1-0 (7-8)",1
"2003.01",1,105,"J2e","Buyuzan","0-1 (11-4)",0,"oshidashi",1009,"J1w","Asasekiryu","1-0 (11-4)",1
"2003.01",1,1009,"J1w","Asasekiryu","1-0 (11-4)",1,"oshidashi",105,"J2e","Buyuzan","0-1 (11-4)",0
"2003.01",1,43,"J1e","Kinkaiyama","0-1 (9-6)",0,"yorikiri",88,"M15e","Tamarikido","1-0 (8-7)",1
"2003.01",1,88,"M15e","Tamarikido","1-0 (8-7)",1,"yorikiri",43,"J1e","Kinkaiyama","0-1 (9-6)",0
"2003.01",1,97,"M14w","Tochinohana","0-1 (7-8)",0,"hatakikomi",145,"M14e","Kobo","1-0 (5-10)",1
"2003.01",1,145,"M14e","Kobo","1-0 (5-10)",1,"hatakikomi",97,"M14w","Tochinohana","0-1 (7-8)",0
"2003.01",1,63,"M13e","Otsukasa","0-1 (4-11)",0,"uwatenage",865,"M13w","Kasugao","1-0 (10-5)",1
"2003.01",1,865,"M13w","Kasugao","1-0 (10-5)",1,"uwatenage",63,"M13e","Otsukasa","0-1 (4-11)",0
"2003.01",1,17,"M12e","Tamakasuga","0-1 (0-5-10)",0,"oshidashi",225,"M12w","Takanotsuru","1-0 (9-6)",1
